song_id,song_name,id_artists,name_artists,popularity,explicit,song_type,track_number,num_artists,num_available_markets,release_date,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
2ZHH9aoZjrqtFk1SX1dXy7,Moonlight,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],18,FALSE,Solo,1,1,73,5/20/16,202360,9,1,3,0.417,0.626,0.412,0.00000355,0.048,-7.339,0.0292,0.209,102.169
6RUhbFEhrvGISaQ8u2j2JN,Dangerous Woman,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],22,FALSE,Solo,2,1,73,5/20/16,235947,4,0,3,0.0529,0.662,0.602,0,0.356,-5.369,0.0401,0.29,133.969
4gfOOBI36Z94x9Gai61XP4,Be Alright,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],18,FALSE,Solo,3,1,73,5/20/16,179293,1,0,4,0.169,0.813,0.456,0.00000285,0.105,-7.667,0.0685,0.587,108.801
63y6xWR4gXz7bnUGOk8iI6,Into You,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],21,FALSE,Solo,4,1,73,5/20/16,244453,9,1,4,0.0162,0.623,0.734,0.0000019,0.145,-5.95,0.107,0.372,107.853
43bCmCI0nSgcT7QdMXY6LV,Side To Side,"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']","['Ariana Grande', 'Nicki Minaj']",20,TRUE,Collaboration,5,2,73,5/20/16,226160,6,0,4,0.0513,0.65,0.736,0,0.235,-5.84,0.229,0.612,159.174
49vZduMPCMnDDrl1WBxUDk,Let Me Love You,"['66CXWjxzNUsdJxJ2JdwvnR', '55Aa2cqylxrFIXC767Z865']","['Ariana Grande', 'Lil Wayne']",19,FALSE,Collaboration,6,2,73,5/20/16,223853,2,1,3,0.0295,0.528,0.435,0,0.243,-8.363,0.129,0.0781,102.704
1FFUXkoWIc9of8yOscGiaC,Greedy,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],19,FALSE,Solo,7,1,73,5/20/16,214907,1,1,4,0.0323,0.62,0.705,0,0.092,-5.335,0.0989,0.844,109.974
6RFoG1NFXFBRs3aAMpqCmN,Leave Me Lonely,"['66CXWjxzNUsdJxJ2JdwvnR', '4ylR3zwA0zaapAu94fktwa']","['Ariana Grande', 'Macy Gray']",16,FALSE,Collaboration,8,2,73,5/20/16,229680,8,0,3,0.596,0.445,0.449,0.0000234,0.339,-7.472,0.0315,0.374,90.927
4RJTTrZqPFWaWACVXHkvjw,Everyday,"['66CXWjxzNUsdJxJ2JdwvnR', '1RyvyyTE3xzB2ZywiAwp0i']","['Ariana Grande', 'Future']",18,TRUE,Collaboration,9,2,73,5/20/16,194840,7,0,4,0.0152,0.637,0.733,0,0.162,-4.387,0.0553,0.432,131.005
0NAwPzl6im6ds9pe51BdD4,Bad Decisions,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],16,TRUE,Solo,10,1,73,5/20/16,226427,4,0,4,0.0173,0.696,0.652,0,0.279,-5.36,0.0423,0.794,131.949
